review_text,review_id,cleaned_review,sentiment_score,sentiment_label,sentiment
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",10,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
Not happy with the stability; it wobbles a bit,11,not happy stability wobbles bit,-0.4585,negative,Negative
The height is just right for cleaning and painting tasks,12,height right cleaning painting tasks,0.0,neutral,Positive
The height is just right for cleaning and painting tasks,13,height right cleaning painting tasks,0.0,neutral,Positive
Easy to fold and store. Perfect for my small space!,14,easy fold store perfect small space,0.765,positive,Positive
This ladder is compact and easy to carry around,15,ladder compact easy carry around,0.4404,positive,Positive
"A bit heavy to handle, but overall it does the job well",16,bit heavy handle overall job well,0.2732,positive,Positive
good,17,good,0.4404,positive,Positive
Sturdy and reliable,18,sturdy reliable,0.0,neutral,Neutral
,19,,,neutral,Neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",20,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"A bit heavy to handle, but overall it does the job well",21,bit heavy handle overall job well,0.2732,positive,Positive
This ladder is compact and easy to carry around,22,ladder compact easy carry around,0.4404,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,23,sturdy feels safe use highly recommended,0.6115,positive,Positive
"A bit heavy to handle, but overall it does the job well",24,bit heavy handle overall job well,0.2732,positive,Positive
good product,25,good product,0.4404,positive,Positive
The height is just right for cleaning and painting tasks,26,height right cleaning painting tasks,0.0,neutral,Positive
Not satisfied. Expected better build quality.,27,not satisfied expected better build quality,-0.5773,negative,Negative
Not happy with the stability; it wobbles a bit,28,not happy stability wobbles bit,-0.4585,negative,Negative
,29,,,neutral,Neutral
good product,30,good product,0.4404,positive,Positive
Not satisfied. Expected better build quality.,31,not satisfied expected better build quality,-0.5773,negative,Negative
The height is just right for cleaning and painting tasks,32,height right cleaning painting tasks,0.0,neutral,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",33,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
,34,,,neutral,Neutral
Easy to fold and store. Perfect for my small space!,35,easy fold store perfect small space,0.765,positive,Positive
good product,36,good product,0.4404,positive,Positive
,37,,,neutral,Neutral
"Good product, works as expected",38,good product works expected,0.4404,positive,Positive
The ladder feels a bit shakyNot worth the price,39,ladder feels bit shakynot worth price,0.2263,positive,Negative
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",40,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"Some scratches were present upon delivery, but it's functional",41,scratches present upon delivery functional,0.0,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",42,scratches present upon delivery functional,0.0,neutral,Neutral
Sturdy and reliable,43,sturdy reliable,0.0,neutral,Neutral
"Good product, works as expected",44,good product works expected,0.4404,positive,Positive
,45,,,neutral,Neutral
,46,,,neutral,Neutral
The ladder feels a bit shakyNot worth the price,47,ladder feels bit shakynot worth price,0.2263,positive,Negative
good,48,good,0.4404,positive,Positive
"Good product, works as expected",49,good product works expected,0.4404,positive,Positive
good,50,good,0.4404,positive,Positive
,51,,,neutral,Neutral
,52,,,neutral,Neutral
Easy to fold and store. Perfect for my small space!,53,easy fold store perfect small space,0.765,positive,Positive
Sturdy and reliable,54,sturdy reliable,0.0,neutral,Neutral
Not happy with the stability; it wobbles a bit,55,not happy stability wobbles bit,-0.4585,negative,Negative
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",56,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"A bit heavy to handle, but overall it does the job well",57,bit heavy handle overall job well,0.2732,positive,Positive
Easy to fold and store. Perfect for my small space!,58,easy fold store perfect small space,0.765,positive,Positive
Sturdy and reliable,59,sturdy reliable,0.0,neutral,Neutral
The quality is excellent; I feel safe using it,60,quality excellent feel safe using,0.765,positive,Positive
This ladder is compact and easy to carry around,61,ladder compact easy carry around,0.4404,positive,Positive
The ladder feels a bit shakyNot worth the price,62,ladder feels bit shakynot worth price,0.2263,positive,Negative
Not satisfied. Expected better build quality.,63,not satisfied expected better build quality,-0.5773,negative,Negative
"A bit heavy to handle, but overall it does the job well",64,bit heavy handle overall job well,0.2732,positive,Positive
Sturdy and reliable,65,sturdy reliable,0.0,neutral,Neutral
Not satisfied. Expected better build quality.,66,not satisfied expected better build quality,-0.5773,negative,Negative
Not happy with the stability; it wobbles a bit,67,not happy stability wobbles bit,-0.4585,negative,Negative
good product,68,good product,0.4404,positive,Positive
"A bit heavy to handle, but overall it does the job well",69,bit heavy handle overall job well,0.2732,positive,Positive
Not satisfied. Expected better build quality.,70,not satisfied expected better build quality,-0.5773,negative,Negative
The quality is excellent; I feel safe using it,71,quality excellent feel safe using,0.765,positive,Positive
"Some scratches were present upon delivery, but it's functional",72,scratches present upon delivery functional,0.0,neutral,Neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",73,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
,74,,,neutral,Neutral
,75,,,neutral,Neutral
This ladder is compact and easy to carry around,76,ladder compact easy carry around,0.4404,positive,Positive
,77,,,neutral,Neutral
,78,,,neutral,Neutral
good,79,good,0.4404,positive,Positive
This ladder is compact and easy to carry around,80,ladder compact easy carry around,0.4404,positive,Positive
Easy to fold and store. Perfect for my small space!,81,easy fold store perfect small space,0.765,positive,Positive
This ladder is compact and easy to carry around,82,ladder compact easy carry around,0.4404,positive,Positive
good,83,good,0.4404,positive,Positive
"A bit heavy to handle, but overall it does the job well",84,bit heavy handle overall job well,0.2732,positive,Positive
The height is just right for cleaning and painting tasks,85,height right cleaning painting tasks,0.0,neutral,Positive
The quality is excellent; I feel safe using it,86,quality excellent feel safe using,0.765,positive,Positive
"Good product, works as expected",87,good product works expected,0.4404,positive,Positive
"A bit heavy to handle, but overall it does the job well",88,bit heavy handle overall job well,0.2732,positive,Positive
The ladder feels a bit shakyNot worth the price,89,ladder feels bit shakynot worth price,0.2263,positive,Negative
good product,90,good product,0.4404,positive,Positive
Not satisfied. Expected better build quality.,91,not satisfied expected better build quality,-0.5773,negative,Negative
Not happy with the stability; it wobbles a bit,92,not happy stability wobbles bit,-0.4585,negative,Negative
good,93,good,0.4404,positive,Positive
The ladder feels a bit shakyNot worth the price,94,ladder feels bit shakynot worth price,0.2263,positive,Negative
The quality is excellent; I feel safe using it,95,quality excellent feel safe using,0.765,positive,Positive
The height is just right for cleaning and painting tasks,96,height right cleaning painting tasks,0.0,neutral,Positive
Not happy with the stability; it wobbles a bit,97,not happy stability wobbles bit,-0.4585,negative,Negative
The height is just right for cleaning and painting tasks,98,height right cleaning painting tasks,0.0,neutral,Positive
,99,,,neutral,Neutral
Not happy with the stability; it wobbles a bit,100,not happy stability wobbles bit,-0.4585,negative,Negative
Not satisfied. Expected better build quality.,101,not satisfied expected better build quality,-0.5773,negative,Negative
good product,102,good product,0.4404,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,103,sturdy feels safe use highly recommended,0.6115,positive,Positive
Not satisfied. Expected better build quality.,104,not satisfied expected better build quality,-0.5773,negative,Negative
Sturdy and reliable,105,sturdy reliable,0.0,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",106,scratches present upon delivery functional,0.0,neutral,Neutral
good,107,good,0.4404,positive,Positive
Very sturdy and feels safe to use. Highly recommended!,108,sturdy feels safe use highly recommended,0.6115,positive,Positive
Not happy with the stability; it wobbles a bit,109,not happy stability wobbles bit,-0.4585,negative,Negative
"Some scratches were present upon delivery, but it's functional",110,scratches present upon delivery functional,0.0,neutral,Neutral
,111,,,neutral,Neutral
Sturdy and reliable,112,sturdy reliable,0.0,neutral,Neutral
"Good product, works as expected",113,good product works expected,0.4404,positive,Positive
This ladder is compact and easy to carry around,114,ladder compact easy carry around,0.4404,positive,Positive
This ladder is compact and easy to carry around,115,ladder compact easy carry around,0.4404,positive,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",116,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
,117,,,neutral,Neutral
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",118,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
Not happy with the stability; it wobbles a bit,119,not happy stability wobbles bit,-0.4585,negative,Negative
good,120,good,0.4404,positive,Positive
,121,,,neutral,Neutral
The quality is excellent; I feel safe using it,122,quality excellent feel safe using,0.765,positive,Positive
good product,123,good product,0.4404,positive,Positive
"A bit heavy to handle, but overall it does the job well",124,bit heavy handle overall job well,0.2732,positive,Positive
Not satisfied. Expected better build quality.,125,not satisfied expected better build quality,-0.5773,negative,Negative
good,126,good,0.4404,positive,Positive
The height is just right for cleaning and painting tasks,127,height right cleaning painting tasks,0.0,neutral,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",128,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
"Very convenient to usePerfect for home projectsGreat height, easy to storeWouldn't recommend thisQuality could be betterAmazing build quality!Lightweight and easy to carryDoes the job, nothing fancyArrived on time, no issuesMissing a few screwsPerfect for cleaning guttersToo short for my needsVersatile and multi-functionalImpressive stabilityPaint chipped after one useHighly recommend this ladderFeels very durableNot suitable for outdoor workAssembly was a bit trickyCompact but sturdyIdeal for professional useCould use better packagingA bit heavier than expectedVery easy to extend and retractLifesaver for painting jobs!Poor customer support experienceLooks good, feels solidHappy with this purchaseOne of the steps is looseGood height for my needsFeels cheap, might not lastPerfect for small spacesVery stable even on uneven surfaces.Not as tall as describedGood grip and slip resistanceA bit overpriced but functionalDoesn't feel safe for heavier usersCompact design is a plusEasy to set up and take down.The hinges feel weakWorks well on hard surfacesDoesn't fit in my storage areaGreat for indoor useLadder locks securely in placeGreat value for money. Works perfectly for outdoor tasks",129,convenient useperfect home projectsgreat height easy storewouldnt recommend thisquality could betteramazing build qualitylightweight easy carrydoes job nothing fancyarrived time no issuesmissing screwsperfect cleaning gutterstoo short needsversatile multifunctionalimpressive stabilitypaint chipped one usehighly recommend ladderfeels durablenot suitable outdoor workassembly bit trickycompact sturdyideal professional usecould use better packaginga bit heavier expectedvery easy extend retractlifesaver painting jobspoor customer support experiencelooks good feels solidhappy purchaseone steps loosegood height needsfeels cheap might not lastperfect small spacesvery stable even uneven surfacesnot tall describedgood grip slip resistancea bit overpriced functionaldoesnt feel safe heavier userscompact design pluseasy set take downthe hinges feel weakworks well hard surfacesdoesnt fit storage areagreat indoor useladder locks securely placegreat value money works perfectly outdoor tasks,0.9899,positive,Positive
good product,130,good product,0.4404,positive,Positive
good,131,good,0.4404,positive,Positive
good,132,good,0.4404,positive,Positive
Not happy with the stability; it wobbles a bit,133,not happy stability wobbles bit,-0.4585,negative,Negative
"A bit heavy to handle, but overall it does the job well",134,bit heavy handle overall job well,0.2732,positive,Positive
The height is just right for cleaning and painting tasks,135,height right cleaning painting tasks,0.0,neutral,Positive
,136,,,neutral,Neutral
The ladder feels a bit shakyNot worth the price,137,ladder feels bit shakynot worth price,0.2263,positive,Negative
,138,,,neutral,Neutral
Easy to fold and store. Perfect for my small space!,139,easy fold store perfect small space,0.765,positive,Positive
Not happy with the stability; it wobbles a bit,140,not happy stability wobbles bit,-0.4585,negative,Negative
The height is just right for cleaning and painting tasks,141,height right cleaning painting tasks,0.0,neutral,Positive
good product,142,good product,0.4404,positive,Positive
good product,143,good product,0.4404,positive,Positive
Not satisfied. Expected better build quality.,144,not satisfied expected better build quality,-0.5773,negative,Negative
,145,,,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",146,scratches present upon delivery functional,0.0,neutral,Neutral
This ladder is compact and easy to carry around,147,ladder compact easy carry around,0.4404,positive,Positive
Not happy with the stability; it wobbles a bit,148,not happy stability wobbles bit,-0.4585,negative,Negative
Easy to fold and store. Perfect for my small space!,149,easy fold store perfect small space,0.765,positive,Positive
,150,,,neutral,Neutral
"Some scratches were present upon delivery, but it's functional",151,scratches present upon delivery functional,0.0,neutral,Neutral
